forecast_reason,Alternative_1,Alternative_2,Alternative_3
,0,0,0
Assigned,874,874,874
CSLT Bonus Units,89,89,89
CSLT General Units,395,395,395
DG Bonus Units,37,37,37
DG General Units,127,127,127
EL General Units,281,281,281
PL Bonus Units,447,447,447
PL General Units,41,41,41
TRPA ADU Units,308,308,308
TRPA Achievable Bonus Units,0,228,0
TRPA Achievable General Units,0,57,0
TRPA Affordable BD Units,0,114,0
TRPA Affordable Units,0,456,0
TRPA Bonus Units,388,388,388
TRPA General Units,948,948,948
TRPA JADU Units,0,98,0
TRPA Moderate Units,0,285,0
WA Bonus Units,120,120,120
WA General Units,196,196,196
